Категория;Товар;Цена;Адрес;Видим;Рекомендуемый;Новинка;"Яндекс маркет";Бренд;Вариант;Св-во1;Цвет;Рейтинг;Голосов;Просмотров;"Старая цена";Артикул;Склад;"Ед-ца измерения";Валюта;"Заголовок страницы";"Ключевые слова";"Описание страницы";Аннотация;Описание;Изображения;"Вес (кг)";"Объем (куб.м.)"
"Костюмы для детей/Сказки и Кино/Для девочек# Военная форма# Костюмы для детей/Профессии/Для девочек# Костюмы для детей/Униформа";Морячка;1730.00;moryachka;1;;;;Балаган;134-140;;;0.0;0;0;;ДС56;;;2;"Костюм Морячки купить, экспресс доставка";"Купить костюм Морячки, Для девочек, Для девочек";"Состав: юбка с встроенным подъюбником, блуза, берет с бумбоном.";;"<ul><li><span style=""font-size: medium;"">Состав: юбка с встроенным подъюбником, блуза, берет с бумбоном.</span></li></ul>";"moryachka_bal3.jpg, moryachka_bal4.jpg, moryachka_bal2.jpg";;
"Костюмы для детей/Сказки и Кино/Для девочек# Военная форма# Костюмы для детей/Профессии/Для девочек# Костюмы для детей/Униформа";Морячка;1730.00;moryachka;1;;;;Балаган;146-152;;;0.0;0;0;;ДС56;;;2;"Костюм Морячки купить, экспресс доставка";"Купить костюм Морячки, Для девочек, Для девочек";"Состав: юбка с встроенным подъюбником, блуза, берет с бумбоном.";;"<ul><li><span style=""font-size: medium;"">Состав: юбка с встроенным подъюбником, блуза, берет с бумбоном.</span></li></ul>";"moryachka_bal3.jpg, moryachka_bal4.jpg, moryachka_bal2.jpg";;
"Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа# Военная форма";"Солдат в камуфляже";1460.00;soldat-v-kamuflyazhe;1;;;;Вестифика;116-122;;;0.0;0;0;;108020;;;2;"Солдат в камуфляже";"Купить Костюм солдата, Вестифика, Для мальчиков";"Жилетка на липучке, брюки, берет.Саржа(100% хлопок).";;"<ul><li><span style=""font-size: 13px;"">Жилетка на липучке, брюки</span><span style=""font-size: 13px;"">, берет.</span></li><li><span style=""font-size: 13px;"">Саржа(100% хлопок)</span></li></ul>";108020.jpg;;
"Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа# Военная форма";"Солдат в камуфляже";1460.00;soldat-v-kamuflyazhe;1;;;;Вестифика;128-134;;;0.0;0;0;;108020;;;2;"Солдат в камуфляже";"Купить Костюм солдата, Вестифика, Для мальчиков";"Жилетка на липучке, брюки, берет.Саржа(100% хлопок).";;"<ul><li><span style=""font-size: 13px;"">Жилетка на липучке, брюки</span><span style=""font-size: 13px;"">, берет.</span></li><li><span style=""font-size: 13px;"">Саржа(100% хлопок)</span></li></ul>";108020.jpg;;
"Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа# Военная форма";"Солдат в камуфляже";1460.00;soldat-v-kamuflyazhe;1;;;;Вестифика;140-146;;;0.0;0;0;;108020;;;2;"Солдат в камуфляже";"Купить Костюм солдата, Вестифика, Для мальчиков";"Жилетка на липучке, брюки, берет.Саржа(100% хлопок).";;"<ul><li><span style=""font-size: 13px;"">Жилетка на липучке, брюки</span><span style=""font-size: 13px;"">, берет.</span></li><li><span style=""font-size: 13px;"">Саржа(100% хлопок)</span></li></ul>";108020.jpg;;
"Костюмы для детей/Профессии/Для девочек# Костюмы для детей/Униформа# Костюмы для детей/Подростки";"Костюм морской подростковый";2410.00;kostyum-morskoj-podrostkovyj;1;;;;Балаган;146-164;;;0.0;0;0;;ВЖ219;0;;2;"Костюм морской подростковый купить в Ай Карнавал";"Купить Костюм морской подростковый, Для девочек";"Состав: платье, воротничок, головной убор.";;"<ul><li><span style=""font-size: medium;"">Костюм выполнен из стрейчевой ткани,&nbsp;поэтому подходит для девочек разной комплекции от 146 до 164 роста.</span></li><li><span style=""font-size: medium;"">Состав: платье, воротничок, головной убор.</span></li></ul>";"jule2014-7978-web.jpg, jule2014-7982-web.jpg, jule2014-7987-web.jpg";;
"Костюмы для детей/Королевство/Для мальчиков# Костюмы для детей/Сказки и Кино/Для мальчиков# Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа";"Рыцарь тевтонец";2480.00;rytsar-tevtonets;1;;;;Масочка;130-145;;;0.0;0;0;;К-906;;;2;"Костюм рыцаря для мальчика купить, рыцарь тевтонец с доставкой";"Купить костюм Рыцарь тевтонец, Алла, Для мальчиков";"В костюм рыцаря входит плащ, шлем, сапоги, пояс, перчатки, нарамник и штаны. Материалы: атлас, лазер.";;"<p><span style=""font-size: medium;"">В костюм&nbsp;рыцаря&nbsp;входит плащ, шлем, сапоги, пояс, перчатки, нарамник и штаны.</span><br /><span style=""font-size: medium;"">Материалы: атлас, лазер.</span></p><p><span style=""font-size: medium;""><br /></span></p><p><span style=""font-size: medium;"">&nbsp; &nbsp;Откуда прибыл этот суровый воин, отмеченный крестом? Зачем он к нам пришел? Поработить или принести благо? Это воин Христов, благословенный Папой Римским. Он пришел искоренить огнем, и мечом язычество из умов славян. Это представитель тевтонского ордена крестоносцев, самого сильного и жестокого, который дольше других удерживал захваченные территории, насаждая немецкую культуру покоренным народам.</span></p><p><span style=""font-size: medium;"">&nbsp; &nbsp;Это закованный в железо солдат, которому не нанесет вреда легкое вооружение. Его железные блестящие латы, шлем, перчатки, наколенники и сапоги, способны выдержать очень сильные удары. Чтобы носить это вооружение и при этом проворно орудовать пикой или мечем, нужно обладать немалой силой. Шлем воина крестоносца тевтонского ордена не только защищает своего владельца, но и устрашает противника огромными торчащими в разные стороны рогами, которые при удобном случае можно использовать как оружие.</span></p><p><span style=""font-size: medium;"">&nbsp; &nbsp;Длинный плащ и накидка из материи это и украшения с символикой ордена - крестом на щите, и защита война в походе - от пыли, дождя, снега и тумана.&nbsp;</span></p><p><span style=""font-size: medium;""><br /></span></p>";rtstv.jpg;;
"Костюмы для детей/Униформа";"Юбка снежинка";930.00;yubka-snezhinka;1;;;;"Волшебный мир";30-32;;;0.0;0;0;;7С-821-РИ;;;2;"Карнавальная Юбка снежинка";"Купить юбку для танцев снежинка, Волшебный мир, Униформа";"Юбка для танцев многослойная";;"<ul><li><span style=""font-size: 13px;"">Юбка для танцев многослойная</span></li></ul>";821.jpg;;
"Костюмы для детей/Национальные/Для девочек# Костюмы для детей/Униформа";"Юбка для танцев";1110.00;yubka-dlya-tantsev;1;;;;"Волшебный мир";104-134;;;0.0;0;0;;7С-914-ри;;;2;"Юбка для танцев";"Купить Юбку для танцев, Волшебный мир, Для девочек";"Пояс на резинке. Текстиль.";;"<ul><li><span style=""font-size: 13px;"">Пояс на резинке.&nbsp;</span></li><li><span style=""font-size: 13px;"">Текстиль.</span></li></ul>";"ubka-g-vm.jpg, ubka-g-vm1.jpg, ubka-k-vm.jpg1.jpg, ubka-z-vm1.jpg";;
"Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа# Аксессуары/Головные уборы/Тематические наборы# Военная форма";"Комплект гюйс и бескозырка";740.00;komplekt-gyujs-i-beskozyrka;1;;;;Вестифика;"3-8 лет";;;0.0;0;0;;108032;;;2;"Комплект гюйс и бескозырка купить с доставкой";"Комплект гюйс и бескозырка купить, Вестифика, Для мальчиков, Униформа";"Состав: Гюйс, Бескозырка.Текстиль.";;"<ul><li><span>Состав: Гюйс,&nbsp;</span><span>Бескозырка</span></li></ul>";108-032.jpg;;
"Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа# Военная форма";"Бескозырка белая";330.00;beskozyrka-belaya;1;;;;"Волшебный мир";универс.;;;0.0;0;0;;12860;;;2;"Головной убор матроса Бескозырка белая";"Купить Бескозырку белую,  Аксессуары, Для мальчиков";"Актуальные цены, оригинальные фото костюмов, экспресс доставка";;"<ul><li><span style=""font-size: 13px;"">Бескозырка матросская.&nbsp;</span></li><li><span style=""font-size: 13px;"">Материал - х/б, вискоза.</span></li><li><span style=""font-size: 13px;"">Без надписи.</span></li></ul>";beska.jpg;;
"Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа";Капитан;1870.00;kapitan;1;;;;Балаган;110-116;;;0.0;0;0;;ДС1;;;2;"Костюм Капитана для мальчика купить, экспресс доставка";"Купить костюм Капитана, Для мальчиков";"Костюмы профессий, актуальные цены, оригинальные фото костюмов, экспресс доставка";;"<ul><li><span style=""font-size: medium;"">Состав: пиджак, брюки, фуражка</span></li><li><span style=""font-size: medium;"">Ткань: габардин.</span></li></ul>";"kapitan.jpg, cap1-1.jpg";;
"Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа";Капитан;1870.00;kapitan;1;;;;Балаган;122-128;;;0.0;0;0;;ДС1;;;2;"Костюм Капитана для мальчика купить, экспресс доставка";"Купить костюм Капитана, Для мальчиков";"Костюмы профессий, актуальные цены, оригинальные фото костюмов, экспресс доставка";;"<ul><li><span style=""font-size: medium;"">Состав: пиджак, брюки, фуражка</span></li><li><span style=""font-size: medium;"">Ткань: габардин.</span></li></ul>";"kapitan.jpg, cap1-1.jpg";;
"Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа";Капитан;1850.00;kapitan;1;;;;Балаган;134-140;;;0.0;0;0;;ДС1;;;2;"Костюм Капитана для мальчика купить, экспресс доставка";"Купить костюм Капитана, Для мальчиков";"Костюмы профессий, актуальные цены, оригинальные фото костюмов, экспресс доставка";;"<ul><li><span style=""font-size: medium;"">Состав: пиджак, брюки, фуражка</span></li><li><span style=""font-size: medium;"">Ткань: габардин.</span></li></ul>";"kapitan.jpg, cap1-1.jpg";;
"Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа";Капитан;1870.00;kapitan;1;;;;Балаган;146-152;;;0.0;0;0;;ДС1;;;2;"Костюм Капитана для мальчика купить, экспресс доставка";"Купить костюм Капитана, Для мальчиков";"Костюмы профессий, актуальные цены, оригинальные фото костюмов, экспресс доставка";;"<ul><li><span style=""font-size: medium;"">Состав: пиджак, брюки, фуражка</span></li><li><span style=""font-size: medium;"">Ткань: габардин.</span></li></ul>";"kapitan.jpg, cap1-1.jpg";;
"Костюмы для детей/Королевство/Для мальчиков# Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа";Гусар;2970.00;gusar;1;;;;Балаган;98-104;;;0.0;0;0;;ДС26;;;2;"Костюм Гусара купить для мальчика с доставкой по России";"Костюм Гусара для мальчика купить";"Состав: китель, брюки, кивер";;"<p><span style=""font-size: medium;"">Состав: китель, брюки, кивер.</span></p>";gusar.jpg;;
"Костюмы для детей/Королевство/Для мальчиков# Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа";Гусар;2970.00;gusar;1;;;;Балаган;110-116;;;0.0;0;0;;ДС26;;;2;"Костюм Гусара купить для мальчика с доставкой по России";"Костюм Гусара для мальчика купить";"Состав: китель, брюки, кивер";;"<p><span style=""font-size: medium;"">Состав: китель, брюки, кивер.</span></p>";gusar.jpg;;
"Костюмы для детей/Королевство/Для мальчиков# Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа";Гусар;2970.00;gusar;1;;;;Балаган;122-128;;;0.0;0;0;;ДС26;;;2;"Костюм Гусара купить для мальчика с доставкой по России";"Костюм Гусара для мальчика купить";"Состав: китель, брюки, кивер";;"<p><span style=""font-size: medium;"">Состав: китель, брюки, кивер.</span></p>";gusar.jpg;;
"Костюмы для детей/Королевство/Для мальчиков# Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа";Гусар;2970.00;gusar;1;;;;Балаган;134-140;;;0.0;0;0;;ДС26;;;2;"Костюм Гусара купить для мальчика с доставкой по России";"Костюм Гусара для мальчика купить";"Состав: китель, брюки, кивер";;"<p><span style=""font-size: medium;"">Состав: китель, брюки, кивер.</span></p>";gusar.jpg;;
"Костюмы для детей/Королевство/Для мальчиков# Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа";Гусар;2970.00;gusar;1;;;;Балаган;146-152;;;0.0;0;0;;ДС26;;;2;"Костюм Гусара купить для мальчика с доставкой по России";"Костюм Гусара для мальчика купить";"Состав: китель, брюки, кивер";;"<p><span style=""font-size: medium;"">Состав: китель, брюки, кивер.</span></p>";gusar.jpg;;
"Аксессуары/Головные уборы/Шляпы, сомбреро, колпаки, ободки# Костюмы для детей/Униформа# Костюмы для взрослых/Униформа# Военная форма";"Пилотка военная";320.00;pilotka-voennaya;1;;;;Вестифика;110-158;;;0.0;0;2;;108004;;;2;"Пилотка военная";"Купить Пилотку военную, Вестифика, Шляпы, сомбреро, колпаки, ободки";"Военно-полевая пилотка времен Великой отечественной войны.По оригинальным лекала с металлической звездочкой";;"<p><span style=""font-size: medium;"">Военно-полевая пилотка времен Великой отечественной войны.</span><br /><span style=""font-size: medium;"">По оригинальным лекала с металлической звездочкой.</span></p>";533.jpg;;
"Аксессуары/Головные уборы/Шляпы, сомбреро, колпаки, ободки# Костюмы для детей/Униформа# Костюмы для взрослых/Униформа# Военная форма";"Пилотка военная";310.00;pilotka-voennaya;1;;;;Вестифика;164-182;;;0.0;0;2;;108004;;;2;"Пилотка военная";"Купить Пилотку военную, Вестифика, Шляпы, сомбреро, колпаки, ободки";"Военно-полевая пилотка времен Великой отечественной войны.По оригинальным лекала с металлической звездочкой";;"<p><span style=""font-size: medium;"">Военно-полевая пилотка времен Великой отечественной войны.</span><br /><span style=""font-size: medium;"">По оригинальным лекала с металлической звездочкой.</span></p>";533.jpg;;
"Костюмы для детей/Униформа# Костюмы для взрослых/Униформа# Военная форма";"Имитация обуви";900.00;imitatsiya-obuvi;1;;;;Балаган;универс.;;;0.0;0;0;;ИМ-111;;;2;"Имитация обуви для военного костюма";"Купить Имитацию обуви, Балаган, Униформа";"Кожзам, универс.";;"<ul><li><span style=""font-size: 13px;"">Кожзам</span></li></ul>";im-111.jpg;;
"Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа# Военная форма";"Воротник матросский";390.00;vorotnik-matrosskij;1;;;;"Волшебный мир";универс.;;;0.0;0;0;;7С-820-РИ;;;2;"Карнавальный костюм Воротник матросский";"Воротник матросский купить, Волшебный мир, Для мальчиков, Униформа";"Актуальные цены, оригинальные фото костюмов, экспресс доставка";;"<ul><li><span style=""font-size: 13px;"">Воротник матросский</span></li><li><span style=""font-size: 13px;"">Для детей 3-8 лет.</span></li></ul>";vorot-vm.jpg;;
"Костюмы для детей/Костюмы Птиц/Для девочек# Костюмы для детей/Униформа";"Лебедь с пачкой";2750.00;lebed-s-pachkoj;1;;;;Балаган;110-116;;;0.0;0;0;;ДЖ81;;;2;"Костюм Лебедя купить с пачкой, срочная доставка, выгодные цены";"Купить костюм Лебедя, Для девочек";"Состав: комбидресс, юбка, головной убор. Материал: трикотаж, фатин, шифон. ";;"<p><span style=""font-size: medium;"">Состав: комбидресс, юбка, головной убор.</span><br /><span style=""font-size: medium;"">Материал: трикотаж, фатин, шифон.&nbsp;</span></p>";"dzh81-2.jpg, dzh81-1.jpg, dzh81.jpg";;
"Костюмы для детей/Костюмы Птиц/Для девочек# Костюмы для детей/Униформа";"Лебедь с пачкой";2750.00;lebed-s-pachkoj;1;;;;Балаган;122-128;;;0.0;0;0;;ДЖ81;;;2;"Костюм Лебедя купить с пачкой, срочная доставка, выгодные цены";"Купить костюм Лебедя, Для девочек";"Состав: комбидресс, юбка, головной убор. Материал: трикотаж, фатин, шифон. ";;"<p><span style=""font-size: medium;"">Состав: комбидресс, юбка, головной убор.</span><br /><span style=""font-size: medium;"">Материал: трикотаж, фатин, шифон.&nbsp;</span></p>";"dzh81-2.jpg, dzh81-1.jpg, dzh81.jpg";;
"Костюмы для детей/Костюмы Птиц/Для девочек# Костюмы для детей/Униформа";Лебедь;2570.00;lebed;1;;;;Балаган;110-116;;;0.0;0;0;;ДЖ23;0;;2;"Костюм Лебедя купить для девочек с доставкой по всей России";"Купить костюм Лебедя, Для девочек";"Состав: купальник с аппликацией, юбка-пачка. Ткань: трикотаж, фатин, атлас.";;"<p><span style=""font-size: medium;"">Состав: купальник с аппликацией, юбка-пачка.</span><br /><span style=""font-size: medium;"">Ткань: трикотаж, фатин, атлас.</span></p>";"20140529-mvv_5834.jpg, 20140529-mvv_5838.jpg, 20140529-mvv_5841.jpg";;
"Костюмы для детей/Костюмы Птиц/Для девочек# Костюмы для детей/Униформа";Лебедь;2570.00;lebed;1;;;;Балаган;122-128;;;0.0;0;0;;ДЖ23;0;;2;"Костюм Лебедя купить для девочек с доставкой по всей России";"Купить костюм Лебедя, Для девочек";"Состав: купальник с аппликацией, юбка-пачка. Ткань: трикотаж, фатин, атлас.";;"<p><span style=""font-size: medium;"">Состав: купальник с аппликацией, юбка-пачка.</span><br /><span style=""font-size: medium;"">Ткань: трикотаж, фатин, атлас.</span></p>";"20140529-mvv_5834.jpg, 20140529-mvv_5838.jpg, 20140529-mvv_5841.jpg";;
"Костюмы для детей/Костюмы Птиц/Для девочек# Костюмы для детей/Униформа";Лебедь;2570.00;lebed;1;;;;Балаган;134-140;;;0.0;0;0;;ДЖ23;0;;2;"Костюм Лебедя купить для девочек с доставкой по всей России";"Купить костюм Лебедя, Для девочек";"Состав: купальник с аппликацией, юбка-пачка. Ткань: трикотаж, фатин, атлас.";;"<p><span style=""font-size: medium;"">Состав: купальник с аппликацией, юбка-пачка.</span><br /><span style=""font-size: medium;"">Ткань: трикотаж, фатин, атлас.</span></p>";"20140529-mvv_5834.jpg, 20140529-mvv_5838.jpg, 20140529-mvv_5841.jpg";;
