Категория;Товар;Цена;Адрес;Видим;Рекомендуемый;Новинка;"Яндекс маркет";Бренд;Вариант;Св-во1;Цвет;Рейтинг;Голосов;Просмотров;"Старая цена";Артикул;Склад;"Ед-ца измерения";Валюта;"Заголовок страницы";"Ключевые слова";"Описание страницы";Аннотация;Описание;Изображения;"Вес (кг)";"Объем (куб.м.)"
"Костюмы для детей/Школа# Костюмы для детей/Униформа# Костюмы для детей/Сказки и Кино/Для мальчиков";"Стиляга в жакете";1870.00;stilyaga-v-zhakete;1;;;;Масочка;115-125;;;0.0;0;0;;ПР-1227;;;2;"Костюм Стиляги для мальчика купить, экспресс доставка";"Стиляга в жакете, Алла, Школа, Униформа";"В костюм стиляги входит рубашка, жакет, галстук и штаны. Материалы: атлас, велюр, трикотаж.";;"<p><span style=""font-size: medium;"">В костюм&nbsp;стиляги&nbsp;входит рубашка, жакет, галстук и штаны.</span></p><p><span style=""font-size: medium;"">Материалы: атлас, велюр, трикотаж.</span></p>";"stilm.jpg, stilm-1.jpg, stilm-2.jpg, pr-1228_1.jpg";;
"Костюмы для детей/Школа# Костюмы для детей/Униформа# Костюмы для детей/Сказки и Кино/Для мальчиков";"Стиляга в жакете";1870.00;stilyaga-v-zhakete;1;;;;Масочка;130-140;;;0.0;0;0;;ПР-1227;;;2;"Костюм Стиляги для мальчика купить, экспресс доставка";"Стиляга в жакете, Алла, Школа, Униформа";"В костюм стиляги входит рубашка, жакет, галстук и штаны. Материалы: атлас, велюр, трикотаж.";;"<p><span style=""font-size: medium;"">В костюм&nbsp;стиляги&nbsp;входит рубашка, жакет, галстук и штаны.</span></p><p><span style=""font-size: medium;"">Материалы: атлас, велюр, трикотаж.</span></p>";"stilm.jpg, stilm-1.jpg, stilm-2.jpg, pr-1228_1.jpg";;
"Костюмы для детей/Профессии/Для девочек# Костюмы для детей/Униформа# Военная форма";"Военная медсестра";1970.00;voennaya-medsestra;1;;;;Масочка;130-140;;;0.0;0;0;;ПР-1216;;;2;"Костюм Военная медсестра для девочки купить в Москве с доставкой";"Военная медсестра, Алла, Для девочек";"В костюм военной медсестры входит юбка, пиджак, головной убор, пояс, имитация обуви и сумочка. Материал: трикотаж.";;"<p><span style=""font-size: medium;"">В костюм&nbsp;военной медсестры&nbsp;входит юбка, пиджак, головной убор, пояс, имитация обуви и сумочка.</span><br /><span style=""font-size: medium;"">Материал: трикотаж.</span></p><p><span style=""font-size: medium;""><br /></span></p><p><span style=""font-size: medium;"">&nbsp; &nbsp; Кто на поле боя самый главный? &laquo;Командир!&raquo;, - скажете вы. И будете абсолютно правы. Но есть еще один значимый герой на местах игровых баталий. Это &ndash; медсестра. Она всегда придет на помощь &laquo;раненым бойцам&raquo;. Наша героиня не боится свиста пуль, ее задача быть полезной и нужной. В специальной сумке, с красным крестом, есть все-все, что необходимо для оказания первой помощи. Наверняка: бинты, вата и даже страшный жгучий йод.</span></p><p><span style=""font-size: medium;"">&nbsp; &nbsp; В короткие минуты тишины между боями, можно спеть песню или исполнить танец, ведь такую красивую форму не стыдно продемонстрировать. Милая девичья юбочка и красивая гимнастерка с золотыми пуговицами &ndash; это предмет гордости настоящей медсестры. Ее военный&nbsp;ремень, словно символ&nbsp;военной&nbsp;доблести и мужества и носить&nbsp;его очень почетно. Белый головной платочек придает костюму женственность и свежесть. Указывает на добродетельность и чистоту создаваемого образа.</span></p><p><span style=""font-size: medium;"">&nbsp; &nbsp; Костюм полевой медсестры всегда уместен на патриотических, тематических праздниках и инсталляциях. При проведении реставраций исторических событий, на национальных государственных праздниках Победы. Он передает дух эпохи, воспитывает любовь к Родине и ее истории.</span></p>";"-1216.jpg, -1216-1.jpg";;
"Костюмы для детей/Униформа";"Костюм солдата для мальчика";2780.00;kostyum-soldata-dlya-malchika;1;;;;Балаган;122-128;;;0.0;0;0;;ДС134;;;2;"Костюм солдата для мальчика с доставко по всей России";"Купить костюм солдата для мальчика, Униформа";"Состав: гимнастерка, галифе, пилотка, имитация сапог, ремень.Материал: габардин.";;"<p><span style=""font-size: medium;"">Состав: гимнастерка, галифе, пилотка, имитация сапог, ремень.</span><br /><span style=""font-size: medium;"">Материал: габардин.</span></p>";sol-bal-m.jpg;;
"Костюмы для детей/Униформа";"Костюм солдата для мальчика";2780.00;kostyum-soldata-dlya-malchika;1;;;;Балаган;134-140;;;0.0;0;0;;ДС134;;;2;"Костюм солдата для мальчика с доставко по всей России";"Купить костюм солдата для мальчика, Униформа";"Состав: гимнастерка, галифе, пилотка, имитация сапог, ремень.Материал: габардин.";;"<p><span style=""font-size: medium;"">Состав: гимнастерка, галифе, пилотка, имитация сапог, ремень.</span><br /><span style=""font-size: medium;"">Материал: габардин.</span></p>";sol-bal-m.jpg;;
"Костюмы для детей/Униформа";"Костюм солдата для мальчика";2780.00;kostyum-soldata-dlya-malchika;1;;;;Балаган;146-152;;;0.0;0;0;;ДС134;;;2;"Костюм солдата для мальчика с доставко по всей России";"Купить костюм солдата для мальчика, Униформа";"Состав: гимнастерка, галифе, пилотка, имитация сапог, ремень.Материал: габардин.";;"<p><span style=""font-size: medium;"">Состав: гимнастерка, галифе, пилотка, имитация сапог, ремень.</span><br /><span style=""font-size: medium;"">Материал: габардин.</span></p>";sol-bal-m.jpg;;
"Костюмы для детей/Профессии/Для девочек# Костюмы для детей/Униформа# Военная форма";"Военный для девочки";1880.00;voennyj-dlya-devochki;1;;;;Вестифика;104-110;;;0.0;1;0;;108003;;;2;"Костюм Военный для девочки | карнавальные костюмы для детей";"Купить костюм Военный для девочки, Вестифика, Для девочек, Униформа";"Гимнастерка, пилотка, пояс, юбка";;"<p><span style=""font-size: medium;"">Состав: Гимнастерка, пилотка, ремень, юбка.</span><br /><span style=""font-size: medium;"">Ткань: Бязь(100% хлопок).</span></p>";383a0278-3.jpg;;
"Костюмы для детей/Профессии/Для девочек# Костюмы для детей/Униформа# Военная форма";"Военный для девочки";1880.00;voennyj-dlya-devochki;1;;;;Вестифика;116-122;;;0.0;1;0;;108003;;;2;"Костюм Военный для девочки | карнавальные костюмы для детей";"Купить костюм Военный для девочки, Вестифика, Для девочек, Униформа";"Гимнастерка, пилотка, пояс, юбка";;"<p><span style=""font-size: medium;"">Состав: Гимнастерка, пилотка, ремень, юбка.</span><br /><span style=""font-size: medium;"">Ткань: Бязь(100% хлопок).</span></p>";383a0278-3.jpg;;
"Костюмы для детей/Профессии/Для девочек# Костюмы для детей/Униформа# Военная форма";"Военный для девочки";1880.00;voennyj-dlya-devochki;1;;;;Вестифика;128-134;;;0.0;1;0;;108003;;;2;"Костюм Военный для девочки | карнавальные костюмы для детей";"Купить костюм Военный для девочки, Вестифика, Для девочек, Униформа";"Гимнастерка, пилотка, пояс, юбка";;"<p><span style=""font-size: medium;"">Состав: Гимнастерка, пилотка, ремень, юбка.</span><br /><span style=""font-size: medium;"">Ткань: Бязь(100% хлопок).</span></p>";383a0278-3.jpg;;
"Костюмы для детей/Профессии/Для девочек# Костюмы для детей/Униформа# Военная форма";"Военный для девочки";1880.00;voennyj-dlya-devochki;1;;;;Вестифика;140-146;;;0.0;1;0;;108003;;;2;"Костюм Военный для девочки | карнавальные костюмы для детей";"Купить костюм Военный для девочки, Вестифика, Для девочек, Униформа";"Гимнастерка, пилотка, пояс, юбка";;"<p><span style=""font-size: medium;"">Состав: Гимнастерка, пилотка, ремень, юбка.</span><br /><span style=""font-size: medium;"">Ткань: Бязь(100% хлопок).</span></p>";383a0278-3.jpg;;
